Station ID,Station,Total Sessions,Total Connection Time,Total Amount,Currency,Total kWh,Park
="5a644172-0c3f-4439-b887-55f876a38bde",="AUI-10231","70","207:03","173.01","USD","934.29",="FLO | EVC306 | SLID 38260 | 1862 Robertson Blvd"
="d4715614-3041-42a9-a2cc-f06c77f9b986",="AUI-10238","12","17:12","13.91","USD","98.873",="FLO | EVC307 | SLID 233148 | 8931 Venice Blvd"
="d11e399e-e206-4c76-9ad0-bf72166cafa6",="AUI-10289","71","146:56","4.35","USD","800.247",="FLO | EVC310 | SLID 226088 | 4940 Paso Robles Ave"
="3daf45f8-f9a0-46e2-8cef-1c33bc2dcc0e",="AUI-10285","12","24:52","17.25","USD","93.621",="FLO | EVC312 | SLID 13138 | 10928 W Pico Blvd"
="5b4aa768-64b0-4a45-9cb2-071c26eb7c43",="AUI-10291","18","27:10","10.89","USD","141.677",="FLO | EVC314 | SLID 198467 | 4647 Marmion Way"
="3915cca1-bcd4-48c8-be8b-6fd27a142d8e",="AUI-10293","19","57:45","4.23","USD","354.824",="FLO | EVC315 | SLID 70215 | 7224 Valjean Ave"
="2970cab5-7aae-41b9-a47b-e65b4e2dd1c2",="AUI-10280","28","33:16","18.19","USD","149.297",="FLO | EVC316 | SLID 163081 | 16501 Otsego St"
="d8183c91-2e7c-449a-8e3a-487b42739ad6",="AUI-10277","36","45:27","89.72","USD","225.828",="FLO | EVC317 | SLID 223501 | 4424 Wesley Ave."
="4773e851-e374-47fd-bc29-cfe3c03f983f",="AUI-10279","15","15:46","2.63","USD","72.048",="FLO | EVC318 | SLID 159877 | 18235 South Figueroa St"
="e3b5b8c7-98c9-4f24-92b4-7706604d5a8f",="AUI-10284","14","7:46","3.73","USD","51.065",="FLO | EVC319 | SLID 97708 | 15321 S Figueroa St"
="5ce00848-ea32-4a44-89d6-d953f009a725",="AUI-10283","49","141:55","58.79","USD","712.274",="FLO | EVC320 | SLID 27595 | 18401 Burbank Blvd"
="a9977875-c053-472e-ac95-672667246e30",="AUI-10286","32","35:18","14.29","USD","186.003",="FLO | EVC321 | SLID 151394 | 7245 Canoga Ave"
="b6c5c4cb-268a-43fa-8f18-03e4d3b8a559",="AUI-10326","19","49:47","12.74","USD","247.75",="FLO | EVC322 | SLID 17271 | 5962 San Vicente Blvd"
="48d52750-f25d-416a-88dd-1473448673e3",="AUI-10315","5","0:46","0.00","USD","5.003",="FLO | EVC323 | SLID 140215 | 14901 Rinaldi street"
="2a1a0698-2486-4690-bcf6-af62b02ff592",="AUI-10282","31","53:50","36.72","USD","297.783",="FLO | EVC324 | SLID 174809 | 10455 W Magnolia Blvd"
="93f3007f-e2c2-4c99-952e-49d70d845b3c",="AUI-10308","186","484:40","68.33","USD","2183.148",="FLO | EVC325 | SLID 88220 | 3117 Temple St."
="0dcb1bda-9261-4554-aa0d-468bc5a6649a",="AUI-10314","30","267:15","6.43","USD","420.768",="FLO | EVC326 | SLID 61506 | 20124 Sherman Way"
="bc01ba6b-a766-4bba-8339-2a50f1a7299c",="AUI-10309","37","56:17","24.28","USD","360.482",="FLO | EVC327 | SLID 133483 | 8245 Winnetka Ave"
="1abc317d-646f-421b-be51-cb4d49a5b4a7",="AUI-10288","28","130:57","54.91","USD","673.095",="FLO | EVC328 | SLID 200037 | 1747 S Barrington Ave"
