,Station,Total Sessions,Address,Latitude,Longitude,num_pois_nearby
186,,1410,1050 S Hill St,34.040943,-118.258995,114
187,,1394,6763 Wilbur Ave,34.19318,-118.54493,23
188,,1383,19662 Nordhoff St,34.235371,-118.561867,68
189,,1264,7796 Foothill Blvd,34.258591,-118.302399,28
190,,1030,18498 Plummer St,34.242672,-118.535568,37
191,,943,15705 Vanowen St,34.194396999999995,-118.475067,23
192,,830,4947 Huntington Dr N,34.087528000000006,-118.175697,25
193,,625,10104 Compton Ave,33.944813,-118.246124,36
194,,554,7301 Crenshaw Blvd,33.973251,-118.331001,20
195,,537,9365 Laurel Canyon Blvd,34.23922,-118.411613,4
196,,502,9070 Venice Blvd,34.026356,-118.393349,67
197,,250,10421 Laurel Canyon Blvd,34.259346,-118.432877,28
198,,64,1150 S Hill St,34.038883,-118.260567,101
199,,52,1674 Lomita Blvd,33.79770300000001,-118.3069,33
200,,13,399 S Main St,34.048134000000005,-118.247192,138
201,,2,1018 S Hill St,34.041138000000004,-118.258812,115
202,,1,6763-6799 Wilbur Ave,34.193195,-118.54493,23
